artistID	name	tag1	tag2	tag3	tag4	tag5	tag6	tag7	tag8	tag9	tag10
525	gwen stefani	pop	female vocalists	dance	rock	alternative	gwen stefani	hip-hop	female	american	rnb
686	selena gomez & the scene	pop	female vocalists	pop rock	disney	selena gomez	rock	dance	american	electronic	teen pop
1400	mgmt	electronic	indie	psychedelic	alternative	indie pop	seen live	indie rock	synthpop	american	pop
441	joy division	post-punk	new wave	80s	alternative	indie	rock	british	punk	gothic	post punk
1104	rammstein	industrial metal	metal	industrial	german	rock	seen live	hard rock	heavy metal	rammstein	neue deutsche härte
329	justin timberlake	pop	rnb	dance	male vocalists	hip-hop	justin timberlake	seen live	soul	american	hip hop
538	maroon 5	rock	pop	pop rock	alternative	alternative rock	seen live	maroon 5	indie	american	male vocalists
868	the doors	classic rock	psychedelic rock	rock	psychedelic	60s	blues	blues rock	70s	the doors	american
233	nine inch nails	industrial	industrial rock	rock	alternative	electronic	seen live	alternative rock	metal	industrial metal	experimental
1246	panic! at the disco	rock	alternative	emo	pop punk	indie	seen live	alternative rock	punk	indie rock	dance
217	death cab for cutie	indie	indie rock	alternative	seen live	rock	emo	indie pop	alternative rock	death cab for cutie	american
331	kanye west	hip-hop	rap	hip hop	rnb	kanye west	seen live	gay fish	american	pop	chicago
7	marilyn manson	industrial	industrial metal	metal	rock	alternative	seen live	alternative rock	hard rock	industrial rock	alternative metal
316	alanis morissette	female vocalists	rock	alternative	singer-songwriter	pop	canadian	alternative rock	seen live	90s	female
735	the rolling stones	classic rock	rock	british	60s	blues	seen live	blues rock	70s	hard rock	rock and roll
540	fall out boy	pop punk	rock	emo	alternative	punk	seen live	punk rock	alternative rock	indie	fall out boy
1048	the kooks	indie	indie rock	british	britpop	alternative	seen live	rock	alternative rock	the kooks	indie pop
182	keane	britpop	indie	alternative	british	rock	seen live	indie rock	pop	alternative rock	piano rock
425	yeah yeah yeahs	indie	indie rock	female vocalists	alternative	rock	seen live	alternative rock	punk	garage rock	american
681	demi lovato	pop	pop rock	female vocalists	disney	guilty pleasure	demi lovato	rock	dance	american	rnb
293	ashlee simpson	pop	female vocalists	pop rock	rock	ashlee simpson	dance	american	female	officially shit	electronic
199	arcade fire	indie	indie rock	alternative	canadian	seen live	rock	alternative rock	art rock	baroque pop	folk
352	cheryl cole	pop	british	female vocalists	cheryl cole	girls aloud	dance	rnb	electronic	sexy	x factor
1369	black sabbath	heavy metal	hard rock	classic rock	metal	rock	doom metal	british	seen live	70s	stoner rock
1934	adele	soul	female vocalists	british	singer-songwriter	indie	pop	adele	jazz	acoustic	female vocalist
680	the veronicas	pop rock	pop	female vocalists	australian	rock	electronic	the veronicas	dance	electropop	alternative
523	lindsay lohan	pop	female vocalists	pop rock	dance	rock	lindsay lohan	american	teen pop	officially shit	female
225	interpol	indie	indie rock	post-punk	seen live	alternative	rock	alternative rock	interpol	american	post-punk revival
88	gorillaz	alternative	electronic	hip-hop	rock	indie	trip-hop	electronica	pop	british	alternative rock
436	the smashing pumpkins	alternative rock	rock	alternative	grunge	90s	seen live	indie	indie rock	american	smashing pumpkins
614	pearl jam	grunge	rock	alternative rock	alternative	90s	seen live	hard rock	seattle	pearl jam	american
704	the pretty reckless	rock	alternative	female vocalists	post-grunge	indie rock	alternative rock	hard rock	seen live	american	grunge
161	enrique iglesias	pop	latin	spanish	dance	latin pop	male vocalists	enrique iglesias	seen live	rnb	sexy
528	pixie lott	pop	british	female vocalists	dance	singer-songwriter	soul	pixie lott	rnb	britpop	female vocalist
1672	avenged sevenfold	metalcore	metal	hard rock	hardcore	rock	seen live	heavy metal	alternative metal	screamo	emo
1375	snow patrol	indie	alternative	rock	indie rock	britpop	seen live	alternative rock	british	snow patrol	pop
226	queens of the stone age	stoner rock	rock	alternative rock	seen live	hard rock	alternative	stoner	desert rock	metal	indie
203	blur	britpop	rock	indie	alternative	british	alternative rock	seen live	indie rock	90s	pop
966	nickelback	rock	alternative rock	hard rock	alternative	canadian	post-grunge	nickelback	grunge	seen live	metal
1044	slipknot	nu metal	metal	heavy metal	nu-metal	seen live	rock	alternative metal	alternative	slipknot	hard rock
238	massive attack	trip-hop	electronic	chillout	downtempo	electronica	seen live	trip hop	alternative	british	ambient
51	duran duran	new wave	80s	pop	synth pop	rock	new romantic	synthpop	british	seen live	electronic
757	crystal castles	electronic	8-bit	new rave	electro	seen live	electronica	experimental	canadian	female vocalists	noise
212	bob dylan	folk	singer-songwriter	classic rock	folk rock	rock	seen live	blues	60s	bob dylan	american
972	t.a.t.u.	pop	russian	female vocalists	electronic	dance	rock	electronica	tatu	russian pop	alternative
81	portishead	trip-hop	electronic	female vocalists	chillout	trip hop	alternative	electronica	downtempo	british	seen live
709	the white stripes	rock	alternative	alternative rock	indie	indie rock	garage rock	seen live	blues	blues rock	american
59	new order	new wave	electronic	post-punk	80s	alternative	seen live	british	rock	synthpop	indie
324	cobra starship	pop punk	alternative	rock	seen live	indie rock	snakes on a motherfucking plane	pop	indie	electronic	alternative rock
314	ciara	rnb	hip-hop	pop	female vocalists	dance	ciara	hip hop	r&b	american	rap
543	nicole scherzinger	pop	rnb	female vocalists	hip-hop	sexy	dance	nicole scherzinger	american	r&b	hot
907	timbaland	hip-hop	rnb	rap	pop	hip hop	timbaland	dance	electronic	producer	american
918	megadeth	thrash metal	heavy metal	metal	speed metal	seen live	thrash	hard rock	rock	american	megadeth
1513	ramones	punk	punk rock	rock	70s	classic rock	classic punk	alternative	american	80s	ramones
930	nightwish	symphonic metal	power metal	gothic metal	metal	female fronted metal	finnish	seen live	female vocalists	gothic	symphonic power metal
458	justin bieber	pop	black metal	justin bieber	rnb	hip-hop	r&b	brutal death metal	gay	canadian	female vocalists
518	within temptation	symphonic metal	gothic metal	female fronted metal	metal	gothic	seen live	female vocalists	gothic rock	rock	dutch
187	a-ha	80s	pop	new wave	norwegian	synth pop	synthpop	rock	electronic	seen live	a-ha
517	korn	nu metal	metal	alternative	rock	nu-metal	seen live	alternative metal	alternative rock	american	korn
320	fergie	pop	rnb	female vocalists	hip-hop	dance	fergie	hip hop	sexy	american	female
715	r.e.m.	rock	alternative rock	alternative	indie	seen live	pop	classic rock	indie rock	80s	american
1244	elvis presley	rock n roll	classic rock	rock	oldies	rock and roll	rockabilly	50s	60s	pop	american
1116	incubus	alternative rock	rock	alternative	seen live	indie	incubus	metal	american	hard rock	indie rock
455	backstreet boys	pop	boybands	90s	backstreet boys	seen live	dance	american	male vocalists	boyband	pop rock
439	los hermanos	brazilian	mpb	alternative rock	rock	indie	brasil	alternative	seen live	brazil	los hermanos
1001	pet shop boys	synthpop	80s	pop	electronic	new wave	seen live	dance	british	synth pop	electronica
3057	regina spektor	female vocalists	indie	singer-songwriter	piano	alternative	seen live	anti-folk	folk	indie pop	russian
562	the who	classic rock	rock	british	60s	hard rock	mod	70s	seen live	the who	british invasion
857	the clash	punk	punk rock	british	rock	classic rock	80s	alternative	70s	reggae	indie
536	good charlotte	punk rock	pop punk	rock	punk	alternative	seen live	alternative rock	emo	pop	good charlotte
468	usher	rnb	hip-hop	pop	soul	rap	usher	hip hop	r&b	male vocalists	dance
1243	mika	pop	british	britpop	electronic	alternative	seen live	dance	male vocalists	mika	chillout
2346	aerosmith	rock	classic rock	hard rock	80s	70s	seen live	aerosmith	american	blues rock	alternative
285	janet jackson	pop	rnb	female vocalists	dance	soul	80s	janet jackson	90s	r&b	american
526	la roux	electropop	electronic	synthpop	dance	indietronica	seen live	british	female vocalists	pop	indie
290	jordin sparks	pop	rnb	female vocalists	american idol	american	jordin sparks	r&b	seen live	female vocalist	soul
969	kasabian	indie	indie rock	british	alternative	rock	seen live	alternative rock	britpop	electronic	kasabian
691	owl city	electronic	indie	powerpop	electronica	cute	pop	synthpop	electropop	american	owl city
488	three days grace	alternative rock	rock	alternative	hard rock	metal	post-grunge	alternative metal	canadian	seen live	three days grace
1239	weezer	rock	alternative	alternative rock	indie	indie rock	seen live	emo	power pop	punk	90s
1037	nicki minaj	hip-hop	rap	rnb	pop	hip hop	female vocalists	sexy	nicki minaj	dance	american
542	pitty	rock	female vocalists	brazilian rock	brazilian	alternative rock	pitty	brasil	alternative	rock brasileiro	pop rock
481	simple plan	rock	pop punk	punk rock	punk	emo	seen live	alternative	canadian	alternative rock	simple plan
1358	judas priest	heavy metal	metal	hard rock	nwobhm	classic rock	seen live	british	speed metal	rock	classic metal
70	moby	electronic	ambient	chillout	alternative	electronica	seen live	dance	pop	techno	rock
2521	robyn	pop	electronic	swedish	female vocalists	seen live	dance	electropop	rnb	electronica	90s
1406	the offspring	punk rock	punk	rock	alternative	alternative rock	seen live	pop punk	american	hard rock	90s
210	bloc party	indie	indie rock	seen live	alternative	british	rock	alternative rock	britpop	post-punk	indie pop
206	beck	alternative	indie	rock	singer-songwriter	indie rock	seen live	alternative rock	folk	electronic	experimental
951	bon jovi	rock	hard rock	classic rock	80s	hair metal	seen live	bon jovi	american	90s	pop
1613	jay-z	hip-hop	rap	hip hop	east coast rap	jay-z	seen live	new york	east coast	american	hiphop
172	garbage	rock	alternative	female vocalists	alternative rock	indie	seen live	electronic	pop	90s	garbage
913	destiny's child	rnb	pop	female vocalists	soul	hip-hop	dance	r&b	american	hip hop	destinys child
1186	sum 41	punk rock	punk	pop punk	rock	alternative	seen live	alternative rock	canadian	sum 41	emo
2343	kiss	hard rock	classic rock	glam rock	rock	80s	seen live	heavy metal	70s	hair metal	metal
1043	boys like girls	pop punk	alternative	rock	emo	indie	seen live	alternative rock	pop rock	pop	punk
703	the xx	indie	electronic	british	post-punk	seen live	dance	alternative	dream pop	indie pop	indie rock
58	goldfrapp	electronic	trip-hop	female vocalists	electronica	dance	seen live	alternative	british	pop	indie
500	bullet for my valentine	metalcore	metal	hardcore	emocore	seen live	emo	rock	screamo	melodic metalcore	heavy metal
191	onerepublic	rock	pop rock	alternative	alternative rock	indie	pop	american	piano rock	seen live	male vocalists
321	jonas brothers	pop	pop rock	disney	rock	pop punk	jonas brothers	seen live	brutal death metal	male vocalists	american
265	céline dion	pop	female vocalists	canadian	90s	french	celine dion	soul	diva	easy listening	female vocalist
3200	cansei de ser sexy	electronic	indie	brazilian	seen live	female vocalists	alternative	electro-rock	electro	indie rock	new rave
296	sugababes	pop	female vocalists	british	dance	rnb	girl group	sugababes	seen live	girl groups	female
311	natasha bedingfield	pop	female vocalists	british	singer-songwriter	female	natasha bedingfield	dance	alternative	rock	female vocalist
808	rise against	punk rock	punk	melodic hardcore	hardcore	rock	seen live	hardcore punk	alternative	alternative rock	american
386	cascada	dance	trance	techno	pop	female vocalists	electronic	german	eurodance	vocal trance	electronica
841	slayer	thrash metal	metal	seen live	speed metal	heavy metal	thrash	death metal	american	slayer	trash metal
854	alice in chains	grunge	rock	alternative rock	hard rock	alternative	90s	seen live	metal	heavy metal	seattle
2083	m.i.a.	hip-hop	electronic	female vocalists	dance	indie	seen live	grime	hip hop	electronica	british
97	duffy	soul	female vocalists	british	pop	singer-songwriter	seen live	duffy	britpop	indie	alternative
546	the ting tings	indie	electronic	british	electropop	female vocalists	seen live	indie pop	pop	alternative	dance
430	kate nash	female vocalists	british	indie	singer-songwriter	indie pop	seen live	pop	alternative	britpop	female vocalist
1131	tool	progressive metal	progressive rock	metal	alternative	rock	seen live	progressive	alternative rock	alternative metal	tool
618	belle and sebastian	indie	indie pop	alternative	seen live	indie rock	twee	scottish	pop	rock	folk
327	chris brown	rnb	hip-hop	chris brown	rap	hip hop	pop	r&b	male vocalists	dance	american
683	john mayer	singer-songwriter	acoustic	rock	pop	acoustic rock	seen live	blues	alternative	john mayer	male vocalists
1390	vampire weekend	indie	indie rock	indie pop	seen live	alternative	rock	american	pop	alternative rock	new york
497	papa roach	rock	nu metal	alternative rock	alternative	metal	seen live	hard rock	rapcore	nu-metal	alternative metal
1377	the fray	alternative	rock	piano rock	indie	alternative rock	indie rock	pop rock	seen live	piano	american
687	all time low	pop punk	rock	powerpop	seen live	emo	punk	alternative	all time low	pop rock	punk rock
432	klaxons	new rave	indie	electronic	british	indie rock	seen live	rock	alternative	dance	electronica
859	pixies	alternative	indie	rock	alternative rock	indie rock	seen live	punk	grunge	80s	post-punk
155	robbie williams	pop	britpop	british	rock	male vocalists	seen live	robbie williams	pop rock	alternative	90s
816	a day to remember	post-hardcore	hardcore	pop punk	screamo	emocore	seen live	metalcore	melodic hardcore	emo	post hardcore
548	ellie goulding	female vocalists	electronic	british	indie	indie pop	pop	seen live	singer-songwriter	electropop	synthpop
176	scorpions	hard rock	classic rock	rock	heavy metal	80s	seen live	german	metal	scorpions	70s
1372	deep purple	hard rock	classic rock	rock	progressive rock	heavy metal	seen live	70s	british	deep purple	metal
1459	carrie underwood	country	female vocalists	pop	american idol	carrie underwood	american	country pop	female	rock	singer-songwriter
1099	the prodigy	electronic	techno	industrial	dance	seen live	electronica	big beat	breakbeat	rave	alternative
920	dream theater	progressive metal	progressive rock	metal	progressive	rock	seen live	heavy metal	american	dream theater	prog
908	vanessa hudgens	pop	female vocalists	disney	vanessa hudgens	rnb	dance	pop rock	electronic	rock	american
317	keri hilson	rnb	pop	female vocalists	hip-hop	timbaland	keri hilson	r&b	dance	hip hop	american
716	kaiser chiefs	indie	indie rock	seen live	britpop	rock	alternative	british	alternative rock	kaiser chiefs	uk
615	elliott smith	singer-songwriter	indie	folk	acoustic	indie rock	alternative	indie pop	rock	lo-fi	indie folk
403	the all-american rejects	rock	alternative	pop punk	emo	punk	seen live	alternative rock	punk rock	indie	pop rock
53	air	electronic	chillout	ambient	french	electronica	trip-hop	seen live	downtempo	alternative	indie
196	beirut	folk	indie	indie folk	singer-songwriter	gypsy	seen live	balkan	alternative	american	experimental
718	johnny cash	country	folk	singer-songwriter	classic rock	rock	americana	alt-country	blues	johnny cash	american
646	rbd	pop	latin	rbd	latin pop	spanish	mexican	mexico	rebelde	rock	pop rock
1464	abba	pop	disco	70s	swedish	80s	abba	dance	female vocalists	oldies	sweden
537	the used	emo	screamo	rock	alternative	seen live	punk	alternative rock	punk rock	post-hardcore	emocore
504	him	love metal	gothic rock	rock	finnish	metal	seen live	gothic	gothic metal	alternative	alternative rock
366	jack johnson	acoustic	singer-songwriter	chill	alternative	rock	folk	indie	acoustic rock	seen live	jack johnson
843	pantera	thrash metal	metal	groove metal	heavy metal	power metal	thrash	rock	pantera	american	hard rock
779	bring me the horizon	deathcore	metalcore	hardcore	screamo	metal	seen live	post-hardcore	british	death metal	emo
1042	bruno mars	pop	rnb	male vocalists	r&b	slow jams	bruno mars	soul	american	singer-songwriter	seen live
1360	motörhead	heavy metal	hard rock	metal	speed metal	seen live	rock	classic rock	british	rock n roll	thrash metal
152	porcupine tree	progressive rock	progressive metal	psychedelic	progressive	rock	seen live	psychedelic rock	british	alternative	experimental
64	röyksopp	electronic	chillout	ambient	electronica	norwegian	seen live	trip-hop	downtempo	dance	indie
499	flyleaf	alternative rock	female vocalists	rock	alternative	hard rock	seen live	christian rock	alternative metal	christian	post-grunge
166	the cranberries	rock	alternative	female vocalists	alternative rock	irish	90s	pop	indie	seen live	the cranberries
1379	hurts	synthpop	electronic	british	new wave	seen live	visual kei	pop	indie	electropop	male vocalists
1032	jessie j	pop	british	female vocalists	rnb	singer-songwriter	dance	jessie j	soul	hip-hop	electronic
1639	jimi hendrix	classic rock	rock	blues	psychedelic	guitar	psychedelic rock	60s	blues rock	hard rock	jimi hendrix
1470	lifehouse	rock	alternative rock	alternative	indie	pop	lifehouse	pop rock	seen live	christian	christian rock
1047	mcfly	pop rock	british	pop	rock	britpop	seen live	mcfly	pop punk	indie	boybands
1854	breaking benjamin	alternative rock	rock	hard rock	alternative	metal	post-grunge	alternative metal	breaking benjamin	nu metal	american
1106	phoenix	indie	french	indie pop	seen live	electronic	rock	indie rock	alternative	pop	alternative rock
748	boards of canada	ambient	electronic	idm	electronica	chillout	downtempo	trip-hop	experimental	warp	scottish
1180	escape the fate	post-hardcore	screamo	emocore	hardcore	emo	seen live	rock	metalcore	post hardcore	alternative
342	colbie caillat	female vocalists	pop	acoustic	singer-songwriter	indie	folk	colbie caillat	alternative	american	mellow
531	taio cruz	rnb	pop	hip-hop	soul	taio cruz	dance	r&b	male vocalists	british	hip hop
1109	yann tiersen	instrumental	soundtrack	french	piano	classical	seen live	singer-songwriter	contemporary classical	composer	france
221	travis	britpop	indie	rock	alternative	british	seen live	indie rock	alternative rock	scottish	pop
1974	rage against the machine	rock	alternative rock	alternative	political	metal	rapcore	seen live	hard rock	alternative metal	crossover
532	little boots	electronic	female vocalists	dance	electro	disco	seen live	british	electropop	pop	synthpop
1034	kerli	alternative	pop	female vocalists	estonian	rock	singer-songwriter	electronic	alternative rock	dance	pop rock
188	opeth	progressive metal	progressive death metal	death metal	metal	seen live	melodic death metal	progressive rock	swedish	progressive	doom metal
863	the velvet underground	rock	classic rock	psychedelic	proto-punk	alternative	60s	psychedelic rock	experimental	indie	art rock
512	deftones	nu metal	metal	alternative	alternative rock	rock	seen live	alternative metal	hard rock	nu-metal	experimental
802	anahí	pop	female vocalists	latin pop	latin	sexy	dance	anahi	diva	rbd	spanish
906	girls aloud	pop	british	female vocalists	dance	girl groups	girls aloud	seen live	electronic	00s	britpop
503	in flames	melodic death metal	metal	death metal	seen live	swedish	swedish metal	gothenburg metal	heavy metal	metalcore	alternative metal
535	sophie ellis-bextor	pop	dance	female vocalists	british	electronic	britpop	disco	female	seen live	electronica
1075	iamx	electronic	synthpop	alternative	electroclash	trip-hop	seen live	british	indie	electronica	experimental
724	ozzy osbourne	heavy metal	hard rock	metal	classic rock	rock	seen live	british	80s	ozzy osbourne	ozzy
1415	creedence clearwater revival	classic rock	rock	southern rock	60s	folk	blues	rock and roll	blues rock	oldies	american
603	aphex twin	electronic	idm	ambient	experimental	electronica	techno	warp	seen live	electro	british
790	belinda	pop	latin	female vocalists	spanish	latin pop	belinda	mexican	dance	rock	pop rock
465	jessica simpson	pop	female vocalists	dance	jessica simpson	female	country	officially shit	rnb	american	teen pop
733	john lennon	classic rock	rock	singer-songwriter	british	pop	70s	john lennon	the beatles	oldies	60s
961	tori amos	female vocalists	singer-songwriter	alternative	piano	rock	seen live	indie	pop	tori amos	female
1045	fresno	rock	emo	brazilian	hardcore	emocore	alternative	fresno	pop rock	alternative rock	brazilian emo
2094	boa	j-pop	k-pop	korean	japanese	jpop	pop	female vocalists	boa	kpop	dance
690	marina & the diamonds	female vocalists	indie pop	indie	british	electronic	seen live	pop	alternative	singer-songwriter	electropop
332	kelly rowland	rnb	pop	female vocalists	soul	hip-hop	kelly rowland	dance	r&b	american	female vocalist
1118	a perfect circle	alternative rock	progressive rock	rock	alternative	metal	seen live	progressive metal	hard rock	industrial	alternative metal
1455	b.o.b	hip-hop	rap	hip hop	dirty south	atlanta	seen live	american	pop	male vocalists	alternative hip-hop
2277	feist	female vocalists	indie	singer-songwriter	canadian	indie pop	seen live	alternative	pop	folk	indie rock
184	james blunt	pop	singer-songwriter	acoustic	indie	rock	british	britpop	alternative	james blunt	male vocalists
714	legião urbana	rock	brazilian rock	80s	brazilian	brasil	post-punk	brazil	mpb	rock brasileiro	alternative rock
323	the saturdays	pop	british	female vocalists	girl groups	girl band	dance	electronic	rnb	electropop	seen live
326	jojo	pop	female vocalists	rnb	jojo	soul	r&b	american	female	hip-hop	teen pop
978	disturbed	metal	nu metal	hard rock	rock	alternative	seen live	alternative metal	heavy metal	nu-metal	alternative rock
355	jason mraz	singer-songwriter	acoustic	pop	alternative	rock	seen live	indie	acoustic rock	jason mraz	male vocalists
2531	morrissey	indie	seen live	british	alternative	rock	80s	indie rock	singer-songwriter	pop	alternative rock
2523	spice girls	pop	90s	female vocalists	british	dance	seen live	spice girls	guilty pleasures	girl groups	britpop
622	sufjan stevens	indie	folk	singer-songwriter	alternative	indie rock	seen live	indie pop	indie folk	rock	acoustic
222	modest mouse	indie	indie rock	alternative	rock	seen live	alternative rock	indie pop	modest mouse	emo	american
1504	sonic youth	alternative	experimental	post-punk	indie	seen live	rock	noise rock	noise	indie rock	alternative rock
889	cyndi lauper	80s	pop	female vocalists	new wave	rock	singer-songwriter	cyndi lauper	dance	american	female
534	no doubt	rock	pop	ska	alternative	female vocalists	alternative rock	90s	seen live	punk	pop rock
1122	the police	rock	classic rock	80s	new wave	pop	british	reggae	seen live	alternative	the police
428	the libertines	indie	indie rock	british	rock	alternative	britpop	alternative rock	punk	seen live	garage rock
1713	dave gahan	electronic	synthpop	new wave	alternative	rock	british	depeche mode	alternative rock	synth pop	seen live
423	bat for lashes	female vocalists	indie	alternative	singer-songwriter	folk	seen live	british	experimental	indie pop	dream pop
1424	cat power	indie	female vocalists	singer-songwriter	folk	alternative	seen live	indie rock	indie pop	rock	indie folk
2020	leighton meester	pop	female vocalists	gossip girl	american	diva	dance	leighton meester	indie	electronic	alternative
