artistID	name	listeners
6015	A Hope For Home	25513
17016	A Kid Hereafter	2153
11120	A Life Once Lost	57483
17387	A Lily	47206
9795	A Loss For Words	79618
6029	A Midsky Surrender	4836
9247	A Palo Seko	6059
1118	A Perfect Circle	1591193
10385	A Place to Bury Strangers	287779
5135	A Plea for Purging	53445
4192	A Radio With Guts	2253
2653	A Rocket to the Moon	304992
10039	A Silent Film	92339
1423	A Silver Mt. Zion	357552
1868	A Skylit Drive	382282
15329	A Smile from the Trenches	47851
6026	A Song For You My Dear	325
3428	A Static Lullaby	318809
11289	A Sunny Day in Glasgow	193302
12794	A Thorn for Every Heart	145579
619	A Tribe Called Quest	1310765
12209	A Very Potter Musical	4736
12208	A Very Potter Sequel Cast	229
8206	A Vida Azul	4428
1733	A Weather	27382
5631	A Wilhelm Scream	145114
794	A*Teens	226224
8180	A-Alikes	2681
6932	A-Ha - www.power-portal.to	12
18324	A-Part	6
6890	A-Team	17577
15069	A-Trak	280002
626	A.A. Bondy	282524
9318	A.C. Newman	276642
13935	A.C.T	17935
16428	A.D.D.	2616
12594	A.E	72
5935	A.F.I.	0
14907	A.J.K.S.	11607
9490	A.M. Architect	16702
3882	A.R. Rahman	380731
5155	A.S.A.P.	16470
14117	A//Political	3718
13266	A1	142458
3366	A1 Bassline	18621
1324	A7ie	27159
5081	AAA	61006
9464	AB/CD	4927
1554	ABACABB	15470
1464	ABBA	1648000
100	ABC	430364
16522	ABC News	8686
4547	ABC Radio National	8395
15472	AC	90248
706	AC/DC	2680587
11310	ACIDMAN	57310
3277	ADULT.	192073
11312	AEVEMI	329
12328	AFFLUENTE	1390
1091	AFI	1305757
12758	AFTA-1	82127
2146	AFX	254624
16856	AI	47782
12651	AJ McLean	4219
16971	AKADO	32578
5564	AKB48	75444
9790	AL Hammer	1728
10926	ALI PROJECT	72540
15219	ALL CAPS	12732
8541	AMBIREP	9
17389	AMMAN/JOSH	2632
9576	ANNA TSUCHIYA inspi' NANA (BLACK STONES)	29371
11830	ANNA inspi NANA	4912
3337	ANONTRON	1
13212	ANew Revolution	34243
7482	ARM Author	990
3959	ASAP	0
16390	ASHES dIVIDE	196743
1929	ASIAN KUNG-FU GENERATION	259311
9263	ASP	145514
722	ATB	864275
3573	ATC	189479
7974	AXiS & Trank	4451
1915	AYABIE	48230
6887	AZ	345093
18006	AZU	24479
8957	AaRON	155823
2220	Aaliyah	1085784
4960	Aarni	10278
457	Aaron Carter	176965
10782	Aaron Doyle, Demi Lovato & Meaghan Martin	913
13722	Aaron Doyle/Demi Lovato/Meaghan Martin	435
3595	Aaron Lines	15082
5805	Aaron Marshall	20376
3599	Aaron Tippin	110802
11939	Aaron Zigman	82527
2181	Aaryn Doyle	14535
7012	Ab Ovo	13639
5347	Abakus	119546
2203	Abandon All Ships	92007
6025	Abandon All Ships!	0
16597	Abandoned Shelter	464
12448	Abdelbasset Mohamed Abdessamad	544
17336	Abdelli	10611
11664	Abdullah Ibrahim	83560
17117	Abdullah Rolle	165
12443	Abdülkadir Şehitoğlu	49
12491	Abe Vigoda	88912
15991	Abecedarians	7804
10218	Abel Korzeniowski	108261
2690	Abfahrt Hinwil	38595
17994	Abhaya & the Steam Injuns	43
3883	Abhijeet Sawant	8076
16206	Abney Park	77494
3819	Abominable Putridity	35665
3722	Aborted	125269
9386	Abou Elleef	437
1306	Above & Beyond	591273
18310	Above The Golden State	20432
2238	Above the Law	109249
13358	Above&Beyond Presents Oceanlab	602
7339	AbraSKAdabra	2042
10046	AbradAb	64288
16592	Abraham-Hicks	1100
6559	Abrasive Wheels	20506
7832	Abril	15484
9687	Absolute Beginner	191193
11372	Absu	69292
9227	Absurd	39882
1293	Absurd Minds	68304
10325	Absynthe Minded	119046
17097	Abu Ali	2094
17102	Abu Ali & Abu Abdul Maalik	1
10100	Abysmal Dawn	24385
13367	Academy Of St. Martin-In-The-Fields Under Neville Marriner	1715
5157	Accept	500287
4762	Acceptance	348448
11307	Access To Arasaka	34223
1331	Accessory	37913
4458	Ace Frehley	139561
2879	Ace Moreland	5031
5507	Ace Ventura	62632
1081	Ace of Base	954685
14279	Aceyalone	134950
16355	Achillea	132328
3802	Acid Bath	82399
1932	Acid Black Cherry	29852
3624	Acid Drinkers	76853
4111	Acid House Kings	195490
11159	Acid Witch	27154
16371	Acidburp	1512
18149	Acidwolf	18303
14267	Acordes Seletos	28
11123	AcousmatiK	75
14392	Acoustic Alchemy	169714
10927	Acoustic Cafe	4283
15692	Acoustic brasil	9
2680	Acrnym	22664
4898	Across Five Aprils	104908
4012	Across The Sun	14181
9277	Across The Universe Soundtrack	0
4941	Across the Universe	95109
17398	Act	19638
9809	Act As One	7360
8897	Activ	41251
1961	Actress	191009
18199	Acumen	6643
5711	Acylum	39053
2663	Acústicos & Valvulados	13725
4968	Ad Hominem	21163
15783	Ada	132478
13949	Ada Milea	5546
13955	Ada Milea (cu Alexander Balanescu)	141
4671	Adagio	81360
5258	Adam Ant	208573
8059	Adam Ficek	133
1777	Adam Green	304019
16067	Adam Gregory	25666
10205	Adam Johnson	39734
544	Adam Lambert	757281
7439	Adam Mickiewicz	588
7715	Adam Skorupa	41085
5260	Adam and the Ants	366854
18026	Adanowsky	51555
11101	Add N to (X)	86955
10446	Addiction For Destruction	139
14263	Addison Park	2782
12683	Addison Road	48311
2056	Adela Popescu	4087
1934	Adele	2845761
4760	Adelitas Way	287642
2956	Adema	801537
4774	Adept	228792
5350	Adham Shaikh	74419
14863	Adhesive	19799
7256	Adiemus	304350
9078	Adissabeba	201
4839	Aditive	9254
13131	Aditus	1979
13582	Adler's Appetite	1912
13826	Adlib	4571
12799	Administrator	4297
14165	Admiral Angry	9053
10328	Admiral Freebee	68216
10759	Adolescents	204945
13672	Adorable	65199
12956	Adoração & Adoradores	3561
11562	Adore	6661
7531	Adrenalina Caribe	261
6571	Adrian Belew	85645
6455	Adrian Johnston	36671
9284	Adrian Lux	250620
3153	Adrian Sanchez	106
14566	Adriana	10107
246	Adriana Calcanhotto	263094
12597	Adriana Lucia	8216
4314	Adriano Celentano	238283
11583	Adrienne Bailon	18511
5663	Adrienne Pierce	32962
13223	Adrina Thorpe	7123
18543	Advent	17356
13541	Adymus	3834
11111	Ad·ver·sary	11193
2217	Aelpéacha	2128
6964	Aeoga	3498
2762	Aeon	49881
8512	Aeon Spoke	24682
7808	Aera	8008
9365	Aereda	2933
10820	Aereogramme	109295
6279	Aerobitch	2886
2346	Aerosmith	2895763
5524	Aerospace	27642
7021	Aes Dana	143709
16970	Aesma Daeva	87689
4779	Aesop Rock	569302
18331	Aesthesys	25291
5581	Aesthetic Perfection	78765
14884	Aeternom	282
18361	Afel Bocoum & Alkibar	592
869	Afghan Whigs	287322
11805	African Children's Choir	2943
17050	African Head Charge	49994
7575	Africando	64020
4590	Afrika Bambaataa	169888
7142	Afro Celt Sound System	119608
7133	Afro Celts	73664
15382	Afro Kolektyw	24720
14905	Afrojack	580439
3180	Afrojack ft. Eva Simons	0
6637	Afroman	483146
14747	Afromental	52352
9741	Afshin	9608
3425	After Forever	303348
18125	After One	2495
413	After School	83641
13430	After The Sirens	5146
4003	After the Burial	126642
16708	After the Fall	25332
5242	Afterhours	94797
7814	Afterlife	387898
3737	Against Me!	583272
1134	Agalloch	308395
8691	Agatha	3025
16502	Age of Nemesis	6720
13239	Agent	12705
9880	Agent Fresco	37386
7938	Agent Orange	158814
1373	Agent Steel	41950
9123	Agents Of Abhorrence	3268
10886	Aggro Berlin	34038
5537	Aggro Santos	107558
16425	AghonyA	1427
8690	Aghora	38525
6172	Agitation Free	46036
17244	Agitators	4320
3491	Agnes	296714
18270	Agnes Carlsson	0
16955	Agnes Milewski	1226
15715	Agnes Obel	521128
1465	Agnetha Fältskog	96536
2515	Agnieszka Chylińska	54380
9887	Agnieszka Osiecka	21882
5600	Agnostic Front	235885
11	Agonoize	63477
13134	Agora	8128
1204	Agoraphobic Nosebleed	81795
17970	Agoria	178944
976	Agressiva 69	22200
5740	Agua Bella	2293
4143	Agua de Annique	62599
11090	Ah Cama-Sotz	28930
12376	Ahleuchatistas	27452
7691	Ahmad Jamal	205538
8442	Ahmad Pejman	3707
12438	Ahmad Saud	421
17345	Ahmed Abdul-Malik	7709
17353	Ahmed Abdul-Malik, Lee Morgan, Johnny Griffin, Benny Golson	12
16448	Ahmed Arif	1193
9550	Ahmed Bukhatir	1767
18687	Ahmet Aslan	16705
2312	Ahmet Kaya	35334
17107	Ahmet Çalışır	361
9211	Ahumado Granujo	16547
17092	AiDS-3D	1862
17364	Aicha Redouane	126
16870	Aida	17375
8959	Aida Shamlou	778
141	Aidan Baker	48297
745	Aidan Baker & thisquietarmy	2897
5065	Aiden	309777
5977	Aiden Grimshaw	30085
12408	Aidonia	78944
16374	Aim	367627
5790	Aimee Mann	748955
4330	Aina	83878
1141	Aina Sandoval	24
53	Air	2151089
14937	Air Formation	61197
7692	Air France	166476
11118	Air Liquide	23006
6722	Air Supply	506793
10327	Air Traffic	362370
17842	AirFare	10794
2095	Aira Mitsuki	23543
9343	Airbag	46846
2360	Airbourne	413201
11592	Airiel	87178
13491	Airs	11210
11432	Airto Moreira	25005
16864	Aisha Duo	192211
6164	Aix Em Klemm	64496
2301	Ajda Pekkan	71426
16569	Aka Carl & The Technicians	33
4309	Akcent	249565
10249	Akeboshi	77224
2761	Akercocke	62192
12713	Akira Kosemura	146448
16460	Akira Rabelais	23149
6080	Akira Senju/Akira Senju	-1
407	Akira Yamaoka	348013
9060	Akli D	4028
1444	Akon	1993291
14038	Akon & Sweet Rush	2282
14096	Akron/Family	275777
3534	Akufen	97833
7038	Akurat	218655
17629	Akwid	33633
8428	Akın Eldes	2651
15627	Al B. Sure!	80404
8823	Al Bano & Romina Power	91994
7432	Al Bowlly	59921
10375	Al Caiola	34235
2001	Al Di Meola	234757
15391	Al Green	1293488
16505	Al Jarreau	277524
7430	Al Jolson	73642
18225	Al Stewart	248537
17114	Al-Aseef	6
3581	Alabama	358012
13882	Alabama 3	188304
18454	Alabina	37663
14690	Alai Oli	59248
7227	Alain Bashung	131842
10377	Alain Goraguer	48701
7233	Alain Souchon	137305
7053	Alamaailman Vasarat	20188
9067	Alamut	1258
2088	Alan	47120
10331	Alan Hawkshaw	41378
2468	Alan Jackson	647727
14034	Alan Lomax	20131
9402	Alan Menken	321434
10357	Alan Moorhouse	32809
5826	Alan Rickman & Johnny Depp	7653
1071	Alan Silvestri	457394
18045	Alan Steward	7071
18352	Alan Tew	11714
1078	Alan Wilder	712
14628	Alana Grace	25141
316	Alanis Morissette	1841498
3381	Alarido	239
2162	Alarm Will Sound	61144
17412	Alaska	56825
13145	Alaska In Winter	85671
2272	Alban Berg Quartet	0
6682	Albert Alexander	63
12644	Albert Castiglia	6616
2896	Albert Collins	205935
12631	Albert Cummings	51196
18614	Albert Hammond Jr.	0
6726	Albert Hammond, Jr.	489579
8123	Albert King	402961
11587	Alberto Iglesias	104829
8819	Alberto Lizzio/Baroque Festival Orchestra	156
5797	Albinobeach	8694
2244	Alborosie	376824
16234	Alboth!	785
14876	Alcatrazz	67909
3948	Alcazar	204433
4611	Alcest	218989
6487	Alceu Valença	100513
11459	Alceu Valença  [www.hugoteacher.blogspot.com]	186
8890	Alchemist Project	33848
13671	Alcian Blue	28968
13548	Alcione	85517
7828	Alcoholic Faith Mission	50593
11546	Alden Tyrell	40901
17992	Aldo Nova	65229
2709	AleX Tune	6182
16975	"Alec ""acker dacker"" Whitehead feat. Kimmy ""wigga wigga lego stegasaurus dim simmer"" Hale"	1
16699	Alec Empire	96507
2391	Alejandra Guzmán	123214
7838	Alejandro Fernández	241719
6518	Alejandro Magno	362
5249	Alejandro Sanz	343802
12080	Alejandro Sanz y The Corrs	550
14927	Alejandro Y Vicente Fernandez	2901
18048	Alejandro de Pinedo	107929
18359	Alejandro del Prado	509
8268	Aleks Syntek	165264
13965	Alemão Ronaldo	1608
1393	Alenka Gotar	7715
1185	Alesana	513479
1051	Alesha Dixon	326287
129	Aless	3647
5985	Alessandra Amoroso	31308
17856	Alessandra Leão	5829
12037	Alessandra Maestrini	926
15165	Alessandra Mussolini	217
2046	Alessandro Safina	87411
16322	Alessandro Scarlatti	76593
14767	Alessio Mereu	7045
1348	Alestorm	272427
10668	Alex Band	73962
15537	Alex Beaupain	33159
16509	Alex Bugnon	36382
3970	Alex C	74252
8899	Alex C. feat. Yass	36593
15713	Alex Canasta	145
10113	Alex Chilton	68687
5245	Alex Ferreira	22737
7268	Alex Gaudino	542775
15355	Alex Goot	80073
9661	Alex Lambert	3762
16657	Alex Lloyd	71550
16063	Alex Metric	124557
18551	Alex Parks	87316
11200	Alex Smoke	146616
15414	Alex Swings Oscar Sings!	14864
15417	Alex Swings, Oscar Sings!	114
2123	Alex Turner	344730
8375	Alex Ubago	134906
11205	Alex Under	77249
337	Alexander	205615
18435	Alexander Brandon	19248
14765	Alexander Kowalski	80692
11345	Alexander O'Neal	124243
17965	Alexander Robotnick	53781
11503	Alexander Rudin	2323
2645	Alexander Rybak	149418
18031	Alexander V.Mogilco	1958
915	Alexandra Burke	501908
10429	Alexandra Stan	457875
4923	Alexandre Desplat	563694
9406	Alexandre Desplat & Aaron Zigman	5657
6853	Alexi Murdoch	766452
3953	Alexia	114827
1439	Alexis & Fido	149254
8643	Alexis Blue	5598
7216	Alexis HK	36405
5534	Alexis Jordan	249491
1195	Alexisonfire	636963
1059	Alexz Johnson	99926
2649	Alfonso Moreno-Guitar	4
14376	Alfredo De La Fe	4739
12492	Algernon Cadwallader	73390
7581	Ali Farka Touré	191904
7582	Ali Farka Touré & Toumani Diabaté	65628
17130	Ali Farka Touré and Ry Cooder	87803
17131	Ali Ufki	134
6898	Ali Vegas	7868
1642	Aliados 13	8494
17052	Alice Coltrane	160548
732	Alice Cooper	1366748
18647	Alice DeeJay	351153
4357	Alice Donut	20259
8398	Alice Nine	83389
15953	Alice Springs	1040
854	Alice in Chains	1929785
3196	Alice in Videoland	142770
11303	Aliceffekt	4189
301	Alicia Keys	2316608
11800	Alicia Svigals	7596
10200	Alicia Wiley	493
5216	Alien Ant Farm	1098075
5704	Alien Produkt	14214
3431	Alien Sex Fiend	144375
6873	Alien Vampires	68175
15293	Alin Coen Band	21971
3870	Alina Orlova	116564
6713	Aline Barros	35850
11683	Alirio Diaz	16169
7870	Alisa Jones	2032
1087	Alisha	13697
2465	Alison Krauss	447977
7068	Alison Moyet	302360
4859	Alissid Jazz!	93
4752	Alive Inside	124
9584	Alize	1961
3674	Alizée	263012
9074	Aljub + Krama	71
4189	Alkaline Trio	824063
13110	Alkehol	8915
671	Alkistis Protopsalti	19998
2224	Alkpote	5962
8665	All About Eve	65256
2951	All Ends	40708
10573	All For Nothing	19542
16704	All Forgotten	11491
15863	All Girl Summer Fun Band	96446
3189	All Gone Dead	30119
7015	All India Radio	109841
5707	All My Faith Lost ...	37051
10581	All Or Nothing H.C.	1062
14167	All Parallels	1924
4705	All Saints	590656
839	All Shall Perish	218510
810	All That Remains	812246
687	All Time Low	1221528
11273	All Time Low㩺	1
11274	All Time Low琀	32
7230	Allain Leprest	2295
13848	Allan Holdsworth	82647
7612	Allegro	16516
17400	Allen-Lande	37055
1996	Allen/Lande	0
6654	Allerseelen	28919
5011	Alleycat Scratch	11745
10465	Alliance Ethnik	34707
15892	Allison	50805
313	Allison Iraheta	86368
6554	Allister	265765
10316	Allstar Weekend	113234
1598	Allstars	14759
14220	Ally Kerr	37032
17175	Almafuerte	14647
18432	Almamegretta	26279
9063	Almora	29453
1973	Aloe Blacc	797446
12202	Aloha	81388
2435	Aloha From Hell	107052
7901	Alph Lyla	1796
9355	Alpha	224828
3148	Alpha & Omega	58037
16103	Alpha Blondy	247464
7538	Alpha Boy School	10388
1250	Alpha Quadrant	1187
530	Alphabeat	464626
877	Alphaville	823490
8212	Alphawezen	176456
7542	Alphonso S'Entrega	149
4304	Alpinestars	103791
11813	Alsou	18265
11629	Altai Hangai	1447
13369	Altan	143211
11621	Altar of Plagues	55876
4327	Altaria	67666
2794	Alter Bridge	820564
15795	Alter Ego	224853
11196	Altera Forma	2704
6780	Altered Images	155531
5736	Alternosfera	7481
9596	Alton Ellis	157561
17523	Alton Miller	16249
8327	Altorių Šešėliai	2962
14953	Alusa Fallax	2549
5592	Aluto	0
3541	Alva Noto	122702
17962	Alva Noto + Ryuichi Sakamoto	104385
7034	Alva Noto + Ryuichi Sakamoto with Ensemble Modern	3178
4772	Alvin és a Mókusok	6430
5369	Alvis Wayne	2881
1684	Aly & AJ	448554
8198	Aly & Fila	135627
16726	Alyson	1808
7397	Alyson Stoner	21475
7166	AmIEvil	50758
1136	Amadou & Mariam	306788
16495	Amanda Blank	179477
7655	Amanda Jenssen	130342
17571	Amanda Lear	98078
9655	Amanda Lepore	18733
17144	Amanda Morra	797
12164	Amanda Palmer	232437
12959	Amanda Seyfried	147357
14541	Amanda Seyfried, Ashley Lilley & Rachel McDowall	41308
13731	Amanda Somerville	9936
6838	Amanda Woodward	26407
12921	Amaral	201030
14921	Amaral Y Chetes	6269
2383	Amatory	142327
13440	Amaury Vassili	8830
16899	Ambassador21	14953
2954	Ambeon	27659
7730	Amber	162551
5313	Amber Pacific	331613
5272	Amber Riley	20722
7099	Amberian Dawn	114893
17469	Amberly Thiessen	39
14289	Ambra Red	5681
5546	Ambulance LTD	239682
31	Amduscia	56753
16727	Ameerah	11126
13733	Amelia Brightman	344
16669	Amely	59355
10890	Amenra	74616
3482	America	857343
8467	American Football	347974
2168	American Head Charge	218907
6558	American Hi-Fi	445658
684	American Idiot Cast	2267
8294	American Me	47600
4362	American Skathic	17
17892	American Stronda	86
4566	Amerie	743474
10831	Amesoeurs	90913
1800	Amethystium	356146
8850	Amici Forever	63599
13216	Amie Miriello	6184
6756	Amiina	336418
11807	Amina Alaoui	3621
821	Amon Amarth	579866
3511	Amon Düül II	127461
2668	Amon Tobin	858062
12943	Among the Debris	425
2370	Amorphis	432702
10104	Amorphous	2015
9974	Amorphous Androgynous	113677
3750	Amos Lee	782055
17985	Amparanoia	156211
5880	Ampere	31028
17888	Amphibious Assault	1193
11283	Amplifier	123356
4045	Ampop	47947
1496	Amsterdam Guitar Trio	1982
7379	Amusement Parks on Fire	96897
7395	Amy Diamond	73070
3761	Amy Grant	291820
10022	Amy Jo Johnson	3170
10827	Amy Lee	162104
1463	Amy Macdonald	891851
18082	Amy Millan	170663
3075	Amy Pearson	21659
974	Amy Studt	97327
903	Amy Winehouse	2504742
18424	Amycanbe	8421
2313	Amália Rodrigues	91497
8322	Amžius	205
11004	An Albatross	56048
17374	An April March	15053
17661	An Cafe	0
10204	An Explorer	1044
9305	An Horse	85471
4018	An Obscure Signal	1131
283	Ana Carolina	183196
1939	Ana Carolina; Seu Jorge	346
12311	Ana Cañas	73164
18653	Ana Flávia	382
2064	Ana Gabriel	137217
7448	Ana Johnsson	124305
9259	Ana Nikolić	6934
15823	Ana Paula Valadão	3980
12648	Ana Popovic	54534
7848	Ana Torroja y Miguel Bosé	14328
4698	Ana Victoria	5823
4965	Anaal Nathrakh	131060
14592	Anahi	0
802	Anahí	127483
8339	Anakron	2246
9225	Anal Blast	17376
4781	Anal Cunt	117603
3728	Anal Nosorog	17635
9218	Anal Vomit	6241
13184	Analog Angel	2574
15723	Analogik	65199
8403	Anamanaguchi	224585
17530	Ananda Project	101781
7883	Ananda Shake	43353
5479	Anapilis	1530
1036	Anarbor	213542
1601	Anastacia	700375
18693	Anastasia	67120
2063	Anastasia Lazariuc	375
2769	Anata	38519
1723	Anathallo	120419
506	Anathema	555599
2661	Anberlin	855922
15509	Anchors For Arms	2854
15887	Ancient Astronauts	111005
13797	Ancient Mith	910
17668	And	13225
9147	And Also the Trees	47120
4937	And Hell Followed With	40456
11003	And None of Them Knew They Were Robots	2504
30	And One	223927
11272	And So I Watch You From Afar	211212
15194	And Then There Were None	24967
7747	And What Will Be Left of Them?	1476
5994	Anda Adam	9254
6366	"Anders ""Anden"" Matthesen´s"	19
9499	Anders Manga	32718
2865	Anders Osborne	31174
10049	Andiman	2240
9913	Andre 3000	208914
925	Andre Matos	27693
589	Andre Williams	40851
16384	Andrea	47038
2047	Andrea Bocelli	635870
13219	Andrea Corr	33775
8449	Andrea Guerra	20944
18129	Andreea Banica	19953
11802	Andrei Machado	27609
14261	Andrew Belle	238331
205	Andrew Bird	1204007
14723	Andrew Bird's Bowl of Fire	59391
9991	Andrew Gold	101834
11679	Andrew Hill	117402
3347	Andrew Jackson Jihad	186503
6858	Andrew Lawson	27
2055	Andrew Lloyd Webber	403022
11419	Andrew Samples	5
3977	Andrew Sixty	3948
10955	Andrew W.K.	370769
628	Andrew York	19981
3855	Andrius Mamontovas	24432
9357	Androcell	52812
9141	Android Lust	66687
4681	Andromeda	73554
7803	Andromeda (60s)	0
6925	Andru Donalds	83781
3668	Andrzej Grabowski	4937
17328	Andrzej Zaucha	23814
13943	André Abujamra	7599
8754	André Previn	93012
5427	André Valadão	20822
5235	Andrés Calamaro	244586
15337	Andrés Cepeda	44607
11646	Andrés Segovia	112406
5387	Andy Anderson	5189
10625	Andy Bell	49148
2868	Andy Egert Blues Band	589
4295	Andy Fletcher	103
3591	Andy Griggs	44838
15450	Andy Hunter°	109325
5444	Andy McKee	270729
14564	Andy Shauf	122469
17964	Andy Stott	125329
8995	Andy Taylor	10785
12786	Andy Timmons	86422
10627	Andy Williams	754908
14632	Ane Brun	472720
8660	Anekdoten	89902
15375	Aneta Langerová	18292
934	Angel Dust	44323
18560	Angel Taylor	30999
10777	Angel Witch	77467
6707	Angel X	210
9569	Angela Aki	0
16517	Angela Bofill	47917
18231	Angela McCluskey	56286
6523	Angelfish	57489
16768	Angelis	22654
3886	Angelo Badalamenti	428016
13584	Angelo Branduardi	49861
13096	Angelo Elle	62
1328	Angels & Agony	66635
501	Angels & Airwaves	868012
12544	Angels and Airwaves	0
6542	Angelspit	124432
17227	Angelzoom	52575
2706	Angerfist	85202
275	Angie Stone	423340
8321	Angis	1409
924	Angra	277440
4397	Angry Petunias	2246
4214	Angry Samoans	68549
14727	Angtoria	96296
6443	Angus	101542
3681	Angus & Julia Stone	1047417
17835	Angy	15218
5973	Angélica	8474
17082	Angélica María	3223
9548	Angélico & Diana	16
7587	Angélique Kidjo	184175
1718	Ani DiFranco	510333
4574	Ania	158255
14902	Ania Wyszkoni	21251
18354	Anibal Troilo-Roberto Goyeneche	1586
13693	Anik Jean	5391
9724	Anika Moa	12414
6953	Anima	42716
2368	Animal Alpha	46010
440	Animal Collective	1293114
13809	Animal Nation	1277
6439	Animal ДжаZ	172227
2971	Animals as Leaders	208760
6753	Animassacre	9300
16595	Animosity	74971
6070	Animotion	149968
15920	Anita Baker	337939
15585	Anita Carter	4443
9065	Anita Livstrand	193
7058	Anja Garbarek	238171
14245	Anjelika Akbar	1962
14577	Anjos De Resgate	6592
5286	Anjulie	89031
4186	Ann Beretta	9169
7131	Ann Lee	93334
2876	Ann Rabson	4027
